Physical Address 1,Name,Surname,IDNumber,ID Type,DateOfBirth,Gender,DisabilityStatus,Equity,Nationality,ResidentialStatus,Language,MaritalStatus,Province,Qualification,Municipality,Physical Address 2,Physical  Address 3,Physical Post Code,Physical Province,Postal Address 1,Postal Address 2,Postal  Address 3,Postal Post Code,Postal Province,Emis Number,Last School Year,Area Code,Agree Popi Act
Physical Address 1,Name,Surname,IDNumber,ID Type,DateOfBirth(yyyy/mm/dd),Gender,DisabilityStatus,Equity,Nationality,ResidentialStatus,Language,MaritalStatus,Province,GETC Qualification,Municipality,Physical Address 2,Physical  Address 3,Physical Post Code,Physical Province,Postal Address 1,Postal Address 2,Postal  Address 3,Postal Post Code,Postal Province,Emis Number,Last School Year,Area Code,Agree Popi Act
,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty,Leave Empty
0002 Tshwane Metro Berea Park Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Central Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Clydesdale Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Defence Force Area Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Gevangenisterrein Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Goedehoop Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Marabastad Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Muckleneuk Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Prince's Park Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Prison Area Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Railway Reserve Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Riverdale Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Salvokop Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Sentraal Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Skanskop Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Spoorwegterrein Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Sunnyside Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Trevenna Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Tshwane Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Verdedigingsterrein Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002 Tshwane Metro Zwaveldspoort Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003 Tshwane Metro Unisa Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004 Tshwane Metro City Council Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004 Tshwane Metro Stadsraad Van Pretoria Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005 Tshwane Metro Alkantrant Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0006 Tshwane Metro Atteridgeville Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007 Tshwane Metro Arcadia Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008 Tshwane Metro  Matamela,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008 Tshwane Metro  Atteridgeville,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008 Tshwane Metro  Atteridgeville,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008 Tshwane Metro  Concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008 Tshwane Metro Atteridgeville Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008 Tshwane Metro Atteridgeville Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008 Tshwane Metro Atteridgeville West Atteridgeville,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008 Tshwane Metro Lotus Gardens Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008 Tshwane Metro Mofokeng Atteridgeville,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008 Tshwane Metro Phomolong Atteridgeville,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008 Tshwane Metro Saulsville Atteridgeville,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009 Tshwane Metro Bon Accord Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010 Tshwane Metro Constantia Park Glenstantia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010 Tshwane Metro Glenstantia Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010 Tshwane Metro Waterkloof Glen Glenstantia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0011 Tshwane Metro Brooklyn Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0012 Tshwane Metro Telkom Place Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0014 Tshwane Metro Clubview Centurion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0014 Tshwane Metro Savannah Park Centurion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0014 Tshwane Metro Simarlo Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0016 Tshwane Metro Cor Delfos Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0017 Tshwane Metro  Doornpoort,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0017 Tshwane Metro Doornpark Doornpoort,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0017 Tshwane Metro Doornpoort Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0018 Tshwane Metro Danville Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0019 Tshwane Metro Daspoort Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0020 Tshwane Metro Persequor Park Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021 Tshwane Metro Eersterus Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022 Tshwane Metro  Eersterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022 Tshwane Metro  Eersterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022 Tshwane Metro Eersterus Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022 Tshwane Metro Eersterus Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0023 Tshwane Metro Erasmia Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
