,municipality
2,0002 Tshwane Metro Berea Park Pretoria
3,0002 Tshwane Metro Central Pretoria
4,0002 Tshwane Metro Clydesdale Pretoria
5,0002 Tshwane Metro Defence Force Area Pretoria
6,0002 Tshwane Metro Gevangenisterrein Pretoria
7,0002 Tshwane Metro Goedehoop Pretoria
8,0002 Tshwane Metro Marabastad Pretoria
9,0002 Tshwane Metro Muckleneuk Pretoria
10,0002 Tshwane Metro Prince's Park Pretoria
11,0002 Tshwane Metro Prison Area Pretoria
12,0002 Tshwane Metro Railway Reserve Pretoria
13,0002 Tshwane Metro Riverdale Pretoria
14,0002 Tshwane Metro Salvokop Pretoria
15,0002 Tshwane Metro Sentraal Pretoria
16,0002 Tshwane Metro Skanskop Pretoria
17,0002 Tshwane Metro Spoorwegterrein Pretoria
18,0002 Tshwane Metro Sunnyside Pretoria
19,0002 Tshwane Metro Trevenna Pretoria
20,0002 Tshwane Metro Tshwane Pretoria
21,0002 Tshwane Metro Verdedigingsterrein Pretoria
22,0002 Tshwane Metro Zwaveldspoort Pretoria
23,0003 Tshwane Metro Unisa Pretoria
24,0004 Tshwane Metro City Council Pretoria
25,0004 Tshwane Metro Stadsraad Van Pretoria Pretoria
26,0005 Tshwane Metro Alkantrant Pretoria
27,0006 Tshwane Metro Atteridgeville Pretoria
28,0007 Tshwane Metro Arcadia Pretoria
29,0008 Tshwane Metro  Matamela
30,0008 Tshwane Metro  Atteridgeville
31,0008 Tshwane Metro  Atteridgeville
32,0008 Tshwane Metro  Concern
33,0008 Tshwane Metro Atteridgeville Pretoria
34,0008 Tshwane Metro Atteridgeville Pretoria
35,0008 Tshwane Metro Atteridgeville West Atteridgeville
36,0008 Tshwane Metro Lotus Gardens Pretoria
37,0008 Tshwane Metro Mofokeng Atteridgeville
38,0008 Tshwane Metro Phomolong Atteridgeville
39,0008 Tshwane Metro Saulsville Atteridgeville
40,0009 Tshwane Metro Bon Accord Pretoria
41,0010 Tshwane Metro Constantia Park Glenstantia
42,0010 Tshwane Metro Glenstantia Pretoria
43,0010 Tshwane Metro Waterkloof Glen Glenstantia
44,0011 Tshwane Metro Brooklyn Pretoria
45,0012 Tshwane Metro Telkom Place Pretoria
46,0014 Tshwane Metro Clubview Centurion
47,0014 Tshwane Metro Savannah Park Centurion
48,0014 Tshwane Metro Simarlo Pretoria
49,0016 Tshwane Metro Cor Delfos Pretoria
50,0017 Tshwane Metro  Doornpoort
51,0017 Tshwane Metro Doornpark Doornpoort
52,0017 Tshwane Metro Doornpoort Pretoria
53,0018 Tshwane Metro Danville Pretoria
54,0019 Tshwane Metro Daspoort Pretoria
55,0020 Tshwane Metro Persequor Park Pretoria
56,0021 Tshwane Metro Eersterus Pretoria
57,0022 Tshwane Metro  Eersterus
58,0022 Tshwane Metro  Eersterus
59,0022 Tshwane Metro Eersterus Pretoria
60,0022 Tshwane Metro Eersterus Pretoria
61,0023 Tshwane Metro Erasmia Pretoria
62,0024 Tshwane Metro Fouriesrus Pretoria
63,0025 Tshwane Metro Lotus Gardens Pretoria
64,0026 Tshwane Metro Laezonia Pretoria
65,0027 Tshwane Metro Groenkloof Pretoria
66,0028 Tshwane Metro Hatfield Pretoria
67,0029 Tshwane Metro  Philip Nel Park
68,0029 Tshwane Metro Philip Nel Park Pretoria
69,0030 Tshwane Metro Hercules Pretoria
