STATSSA_Area_Code,Description,Main_Code
2011-380002001,!Kheis NU,2011-380002
2011-968083001,15 South African Military base/15 SAI SP,2011-968083
2011-472001001,42nd Hill,2011-472001
2011-797023013,486 Scheme,2011-797023
2011-369006003,7 De Laan,2011-369006
2011-797023012,700 Scheme,2011-797023
2011-374001002,7de Laan,2011-374001
2011-798022021,Aanwins AH,2011-798022
2011-860018001,Aarnhemburg SP,2011-860018
2011-529002001,Abaqulusi NU,2011-529002
2011-589125001,Abashumi SP,2011-589125
2011-591003001,Abashumi SP,2011-591003
2011-164018001,Abbotsdale SP,2011-164018
2011-798015049,Abbotsford,2011-798015
2011-260113009,Abbotsford,2011-260113
2011-978032006,Abbotspoort,2011-978032
2011-567010001,Abebhuzi SP,2011-567010
2011-593031001,Abejuti SP,2011-593031
2011-261005001,Aberdeen SP,2011-261005
2011-297087001,Abetshawu SP,2011-297087
2011-674001001,Abingdon SP,2011-674001
2011-271310001,Aboboti SP,2011-271310
2011-478009003,Abrahamsrust,2011-478009
2011-199026002,Acacia Park,2011-199026
2011-514018019,Acaciavale,2011-514018
2011-599116052,Acorn,2011-599116
2011-877015002,Acornhoek SP,2011-877015
2011-797008013,Activia Park,2011-797008
2011-571013001,Acton Homes SP,2011-571013
2011-797011058,Actonville,2011-797011
2011-797011057,Actonville Ext 4,2011-797011
2011-271116001,Adam SP,2011-271116
2011-677006015,Adamayview,2011-677006
2011-599179003,Adams Mission,2011-599179
2011-560002001,Adams Rural SP,2011-560002
2011-299007039,Adcockvale,2011-299007
2011-277005002,Adelaide SP,2011-277005
2011-261003005,Adendorp,2011-261003
2011-797031007,Admin,2011-797031
2011-162006004,Admiral Island and Port Owen Estates,2011-162006
2011-199053015,Admirals Kloof,2011-199053
2011-199055002,Admirals Park,2011-199055
2011-199024004,Adriaanse,2011-199024
2011-869005010,Aerorand,2011-869005
2011-798015166,Aeroton,2011-798015
2011-760009010,Aerovaal,2011-760009
2011-262003005,Aeroville,2011-262003
2011-599004003,AF Sterk Spruit Mine,2011-599004
2011-968010001,Afton SP,2011-968010
2011-295035001,Afzondering SP,2011-295035
2011-970002001,Aganang NU,2011-970002
2011-763004033,Agavia,2011-763004
2011-368006001,Aggeneys SP,2011-368006
2011-383005035,Agisanang,2011-383005
2011-660020001,Agisaneng SP,2011-660020
2011-283086001,Agnes SP,2011-283086
2011-960029009,Agriculture Squatter Camp,2011-960029
2011-173007001,Agulhas SP,2011-173007
2011-964030001,Air Force Hoedspruit SP,2011-964030
2011-797011035,Airfield,2011-797011
2011-199041095,Airlie,2011-199041
2011-524010016,Airport Industrial,2011-524010
2011-982123003,Akasia,2011-982123
2011-378013004,Akasia Park,2011-378013
2011-378013006,Akasia Park Ext 2,2011-378013
2011-378013002,Akasia Park Ext 3,2011-378013
2011-366005001,Akkerendam Nature Reserve,2011-366005
2011-677006019,Alabama,2011-677006
2011-798015203,Alan Manor,2011-798015
2011-599100004,Albany,2011-599100
2011-797008069,Albemarle,2011-797008
2011-797029005,Alberante,2011-797029
2011-506014006,Albersville,2011-506014
2011-563002003,Albert Falls Public Resort Nature Reserve,2011-563002
2011-562027001,Albert Falls SP,2011-562027
2011-860002001,Albert Luthuli NU,2011-860002
2011-175005001,Albertinia SP,2011-175005
2011-797029001,Alberton SP,2011-797029
2011-797029017,Albertsdal,2011-797029
2011-798016073,Albertskroon,2011-798016
2011-876022001,Albertsnek SP,2011-876022
2011-798016076,Albertville,2011-798016
2011-383006034,Albertynshof,2011-383006
2011-599100006,Albina,2011-599100
2011-524024001,Alcockspruit SP,2011-524024
2011-798016053,Aldara Park,2011-798016
2011-874052001,Aldie SP,2011-874052
2011-363007001,Alexander Bay SP,2011-363007
2011-599116010,Alexander Park,2011-599116
